SchoolName,Address,Grades
LOWELL,3320 W Hirsch St,K-8*

LOZANO,1501 N Greenview Ave,K-8*

LYON,2941 N McVicker Ave,K-8*

MADERO,3202 W 28th St,6-8*

MADISON,7433 S Dorchester Ave,K-8*

MAGIC JOHNSON - CHATHAM,214 W 83rd Street,9-12

MAGIC JOHNSON ACADEMY- HUMBOLDT PK HS,2421 W. Division,9-12

MAGIC JOHNSON ACADEMY- NORTH LAWNDALE HS,3222 W Roosevelt Rd,9-12

MAGIC JOHNSON ACADEMY- ROSELAND HS,10928 S. Halsted Ave,9-10

MAGIC JOHNSON ACADEMY-ENGLEWOOD HS,845 W 69th Street,9-12

MANIERRE,1420 N Hudson Ave,K-8*

MANLEY HS,2935 W Polk St,9-12*

MANLEY HS,2935 W Polk St,9-11*

MANN,8050 S Chappel Ave,K-8*

MARINE ACAD AT AMES,1920 N Hamlin Ave,7-12

MARINE MILITARY HS,145 S Campbell Ave,10-12

MARQUETTE,6550 S Richmond St,K-8*

MARSH,9822 S Exchange Ave,K-8*

MARSHALL HS,3250 W Adams St,9-12*

MARSHALL HS,3250 W Adams St,9-11*

"MARSHALL, T MS",3900 N Lawndale Ave,7-8*

MASON,4217 W 18th St,K-8*

MATHER HS,5835 N Lincoln Ave,9-12*

MAYER,2250 N Clifton Ave,K-8*

MAYS,6656 S Normal Blvd,K-8*

MCAULIFFE,1841 N Springfield Ave,K-8*

MCCLELLAN,3527 S Wallace St,K-8*

MCCORMICK,2712 S Sawyer Ave,K-5*

MCCUTCHEON,4865 N Sheridan Rd,K-8*

MCDADE,8801 S Indiana Ave,K-6

MCDOWELL,1419 E 89th St,K-5*

MCKAY,6901 S Fairfield Ave,K-8*

MCNAIR,4820 W Walton St,K-8*

MCPHERSON,4728 N Wolcott Ave,K-8*

MELODY,3937 W Wilcox St,K-8*

METCALFE,12339 S Normal Ave,K-8*

MIRELES,9000 S Exchange Ave,K-8*

MITCHELL,2233 W Ohio St,K-8*

MOLLISON,4415 S Dr Martin L King Jr Dr,K-8*

MONROE,3651 W Schubert Ave,K-8*

MONTEFIORE,1310 S Ashland Ave,8

MONTESSORI CHTR - ENGLEWOOD,6550 S Seeley Ave,PK-6

MOOS,1711 N California Ave,K-8*

MORGAN PARK HS,1744 W Pryor Ave,9-12*

MORRILL,6011 S Rockwell St,K-8*

MORTON,431 N Troy St,K-8*

MOUNT GREENWOOD,10841 S Homan Ave,K-8*

MOUNT VERNON,10540 S Morgan St,K-8*

MOZART,2200 N Hamlin Ave,K-8*

MULTICULTURAL ACAD SCHOLARSHIP,3120 S Kostner Ave,9-12*

MURPHY,3539 W Grace St,K-8*

MURRAY,5335 S Kenwood Ave,K-8

NAMASTE CHTR,3737 S Paulina St,K-8

NASH,4837 W Erie St,K-8*

NATIONAL TEACHERS,55 W Cermak Rd,K-8*

NEIL,8555 S Michigan Ave,K-8*

NETTELHORST,3252 N Broadway St,K-8*

NEW FIELD,1707 W Morse Ave,K-3*

NEW FIELD,1707 W Morse Ave,K-2*

NEW SULLIVAN,8331 S Mackinaw Ave,K-8*

NEWBERRY,700 W Willow St,PK-8

NICHOLSON TECH ACAD,6006 S Peoria St,K-8*

NIGHTINGALE,5250 S Rockwell St,K-8*

NIXON,2121 N Keeler Ave,K-6*

NKRUMAH CHTR,314 W 108th St,K-7

