SchoolName,Address,Grades
ROOSEVELT HS,3436 W Wilson Ave,9-12*

ROWE CHTR,1424 N Cleaver St,K-7

RUDOLPH,110 N Paulina St,PK

RUGGLES,7831 S Prairie Ave,K-8*

RUIZ,2410 S Leavitt St,K-8*

RYDER,8716 S Wallace St,K-8*

SABIN,2216 W Hirsch St,K-8

SALAZAR,160 W Wendell St,PK-8

SANDOVAL,5534 S Saint Louis Ave,K-5*

SAUCEDO,2850 W 24th Blvd,PK-8

SAUGANASH,6040 N Kilpatrick Ave,K-8*

SAWYER,5248 S Sawyer Ave,K-8*

SAYRE,1850 N Newland Ave,K-8*

SCAMMON,4201 W Henderson St,K-8*

SCHMID,9755 S Greenwood Ave,K-8*

SCHUBERT,2727 N Long Ave,K-5*

SCHURZ HS,3601 N Milwaukee Ave,9-12*

SENN HS,5900 N Glenwood Ave,9-12*

SEWARD,4600 S Hermitage Ave,K-8*

SHABAZZ CHTR - DUSABLE,4934 S Wabash Ave,11-12

SHABAZZ CHTR - SHABAZZ,7823 S Ellis Ave,K-8

SHABAZZ CHTR - SIZEMORE,6936 S Hermitage Ave,K-8

SHERIDAN,533 W 27th St,K-8

SHERMAN,1000 W 52nd St,K-8*

SHERWOOD,245 W 57th St,K-8*

SHIELDS,4250 S Rockwell St,K-4*

SHIELDS MIDDLE,2611 W 48th St,5-8*

SHOESMITH,1330 E 50th St,K-6*

SHOOP,11140 S Bishop St,K-8*

SIMEON HS,8147 S Vincennes Ave,9-12

SIMPSON HS,1321 S Paulina St,7-12

SKINNER,1260 W Adams St,K-5*

SKINNER NORTH,640 W Scott St,K-7

SMITH,744 E 103rd St,K-8*

SMYSER,4310 N Melvina Ave,K-8*

SMYTH,1059 W 13th St,K-8*

SOLOMON,6206 N Hamlin Ave,K-8*

SOLORIO HS,5400 S St Louis Ave,9-12*

SOUTH LOOP,1212 S Plymouth Ct,K-8*

SOUTH SHORE INTL HS,1955 E 75th St,12*

SOUTHSHORE,1415 E 70th St,PK-8

SOUTHSIDE HS,7342 S Hoyne Ave,12

SPENCER TECH ACAD,214 N Lavergne Ave,K-8*

SPRY ES,2400 S Marshall Blvd,K-8*

SPRY HS,2400 S Marshall Blvd,9-11

STAGG,7424 S Morgan St,K-8*

STEINMETZ COLLEGE PREP HS,3030 N Mobile Ave,9-12*

STEM ACADEMY,1522 W Fillmore St,K-6

STEVENSON,8010 S Kostner Ave,K-8*

STOCK,7507 W Birchwood Ave,PK

STONE,6239 N Leavitt St,K-8

STOWE,3444 W Wabansia Ave,K-8*

SUDER,2022 W Washington Blvd,PK-8

SULLIVAN HS,6631 N Bosworth Ave,9-12*

SUMNER,4320 W 5th Ave,K-8*

SUTHERLAND,10015 S Leavitt St,K-8*

SWIFT,5900 N Winthrop Ave,K-8*

TAFT HS,6530 W Bryn Mawr Ave,9-12*

TALCOTT,1840 W Ohio St,K-8*

TALMAN,5450 S Talman Ave,PK-8

TANNER,7350 S Evans Ave,K-8*

TARKINGTON,3330 W 71st St,K-8*

TAYLOR,9912 S Avenue H,K-8*

TEAM HS,6201 S Stewart Ave,9-12

TELPOCHCALLI,2832 W 24th Blvd,K-8*

THOMAS,3625 S Hoyne Ave,PK

"THORP, J",8914 S Buffalo Ave,K-8*

"THORP, O",6024 W Warwick Ave,K-8

TILDEN HS,4747 S Union Ave,9-12*

TILL,6543 S Champlain Ave,K-8*

TILTON,223 N Keeler Ave,K-8*

TONTI,5815 S Homan Ave,K-5*

TURNER-DREW,9300 S Princeton Ave,K-8

TWAIN,5134 S Lotus Ave,K-8*

UNIV OF CHGO CHTR - DONOGHUE,707 E 37th St,PK-5*

UNIV OF CHGO CHTR - NKO,1119 E 46th St,PK-5

UNIV OF CHGO CHTR - WOODLAWN,6420 S University Ave,6-12*

UNIV OF CHGO CHTR - WOODSON,4444 S Evans Ave,6-8*

UNO CHTR - DE LAS CASAS,1641 W 16th St,K-8

UNO CHTR - ESMERALDA SANTIAGO,2510 W Cortez St,K-8

UNO CHTR - FUENTES,2845 W Barry Ave,K-8*

UNO CHTR - HOMAN ES,5050 S Homan Ave,K-8

UNO CHTR - MAJOR HECTOR P.GARCIA,4248 W 47th St,9-12

UNO CHTR - MARQUEZ,2916 W 47th St,K-8

UNO CHTR - NEAR WEST,2050 N Natchez Ave,K-8*

UNO CHTR - PAZ,2651 W 23rd St,K-8

UNO CHTR - PFC OMAR E.TORRES,4248 W 47th St,K-8

UNO CHTR - ROGERS PARK,7416 N Ridge Blvd,K-10

UNO CHTR - SANDRA CISNEROS,2744 W Pershing Rd,K-8

UNO CHTR - SOCCER HS,5025 S Saint Louis Ave,6-10

UNO CHTR - SPC DANIEL ZIZUMBO,4248 W 47th St,K-8

UNO CHTR - TAMAYO,5135 S California Ave,K-8*

UNO CHTR 15 - BRIGHTON PARK,4420 S Fairfield Ave,K-8

UPLIFT HS,900 W Wilson Ave,9-12

URBAN PREP CHTR - BRONZEVILLE,521 E 35th St,9-12

URBAN PREP CHTR - ENGLEWOOD,6201 S Stewart Ave,9-12

URBAN PREP CHTR - WEST,1326 W 14th Pl,9-12

VANDERPOEL,9510 S Prospect Ave,K-8

VAUGHN HS,4355 N Linder Ave,9-10

VICK,2554 W 113th St,PK

VOISE HS,231 N Pine Ave,9-12

VOLTA,4950 N Avers Ave,K-8*

VON LINNE,3221 N Sacramento Ave,K-8*

VON STEUBEN HS,5039 N Kimball Ave,9-12

WACKER,9746 S Morgan St,K-8*

WADSWORTH,6650 S Ellis Ave,K-8*

WALSH,2015 S Peoria St,K-8*

"WARD, J",2701 S Shields Ave,K-8*

"WARD, L",646 N Lawndale Ave,K-8*

WARREN,9239 S Jeffery Ave,K-8*

WARREN,9239 S Jeffery Ave,7-8*

WARREN,9239 S Jeffery Ave,7-8*

WARREN,9239 S Jeffery Ave,4-8*

WASHINGTON HS,3535 E 114th St,9-12*

"WASHINGTON, G",3611 E 114th St,K-8*

"WASHINGTON, H",9130 S University Ave,K-8*

WATERS,4540 N Campbell Ave,K-8*

WEBSTER,4055 W Arthington St,K-8*

WELLS HS,936 N Ashland Ave,9-12*

WELLS HS,936 N Ashland Ave,9-11*

"WELLS, I",249 E 37th St,K-8*

WENTWORTH,1340 W 71st St,K-8*

WEST PARK,1425 N Tripp Ave,K-8*

WEST RIDGE,6700 N Whipple St,K-8*

WESTCOTT,409 W 80th St,K-8*

WHISTLER,11533 S Ada St,K-8*

WHITE,1136 W 122nd St,K-8*

WHITNEY,2815 S Komensky Ave,K-8*

WHITTIER,1900 W 23rd St,K-8*

WILDWOOD,6950 N Hiawatha Ave,K-8*

"WILLIAMS, D",4934 S Wabash Ave,9-12

WINNIE MANDELA HS,7847 S Jeffery Blvd,9-12

WOODLAWN,6657 S Kimbark Ave,PK-6

WOODSON,4414 S Evans Ave,K-8*

WOODSON,4414 S Evans Ave,4-8*

WORLD LANGUAGE HS,3120 S Kostner Ave,9-12*

YATES,1839 N Richmond St,K-8*

YCCS CHTR - ADDAMS,1814 S Union Ave,10-11

YCCS CHTR - ASPIRA PANTOJA,3121 N Pulaski Rd,10-12

YCCS CHTR - ASSOCIATION HOUSE,1116 N Kedzie Ave,10-12

YCCS CHTR - AUSTIN CAREER,5352 W Chicago Ave,10-12

YCCS CHTR - CAMPOS,2739 W Division St,10-12

YCCS CHTR - CCA ACADEMY,1231 S Pulaski Rd,10-12

YCCS CHTR - CHATHAM,9035 S Langley Ave,10-12

YCCS CHTR - COMMUNITY ACADEMY,3424 S State St,10-12

YCCS CHTR - COMMUNITY SERVICE,4651 W Madison St,10-12

YCCS CHTR - HOUSTON,4701 S King Dr,10-12

YCCS CHTR - INNOVATIONS,17 N State St.,10-12

YCCS CHTR - LATINO YOUTH,2001 S California Ave,10-12

YCCS CHTR - MCKINLEY,2920 S Wabash Ave,10-12

YCCS CHTR - OLIVE HARVEY,10001 S Woodlawn Ave,10-11

YCCS CHTR - SULLIVAN,8164 S South Chicago Ave,10-12

YCCS CHTR - TRUMAN,1145 W Wilson Ave,10-12

YCCS CHTR - VIRTUAL,1900 W Van Buren St,10-12

YCCS CHTR - WEST TOWN,500 N Sacramento Blvd,10-12

YCCS CHTR - WESTSIDE HOLISTIC,4909 W Division St,10-12

YCCS CHTR - YOUTH DEVELOPMENT,7836 S Union Ave,10-12

YORK HS,2700 S California Ave,9-12

YOUNG,1434 N Parkside Ave,K-8*

YOUNG HS,211 S Laflin St,7-12

YOUNG WOMEN`S LEADERSHIP CHTR,2641 S Calumet Ave,7-12

ZAPATA,2728 S Kostner Ave,K-8*
