Network,SchoolID,EducationalUnit,EduUnit,Total,White_No,White_Pct,AfricanAmerican_No,AfricanAmerican_Pct,PacificIslanderRetired_No,PacificIslanderRetired_Pct,NativeAmerican_No,NativeAmerican_Pct,Hispanic_No,Hispanic_Pct,MulitRacial_No,MulitRacial_Pct,Asian_No,Asian_Pct,Hawaiian_No,Hawaiian_Pct,NotAvailable_No,NotAvailable_Pct
Options,610573,Camelot Academy HS,CAMELOT ACADEMY HS,16,0,0,16,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Network 5,609835,Cameron,CAMERON,811,5,0.6,291,35.9,0,0,0,0,507,62.5,5,0.6,0,0,0,0,3,0.4
Network 3,610539,Camras,CAMRAS,"1,001",56,5.6,9,0.9,0,0,9,0.9,906,90.5,6,0.6,15,1.5,0,0,0,0
Network 9,610018,Canter Middle,CANTER MIDDLE,95,2,2.1,89,93.7,0,0,0,0,3,3.2,0,0,1,1.1,0,0,0,0
Network 1,609836,Canty,CANTY,812,442,54.4,8,1,0,0,1,0.1,302,37.2,25,3.1,33,4.1,1,0.1,0,0
Network 7,610024,Cardenas,CARDENAS,713,4,0.6,29,4.1,0,0,0,0,680,95.4,0,0,0,0,0,0,0,0
OS4,609837,Carnegie,CARNEGIE,669,8,1.2,653,97.6,0,0,0,0,5,0.7,2,0.3,0,0,1,0.1,0,0
Network 10,609839,Carroll,CARROLL,533,0,0,513,96.2,0,0,0,0,17,3.2,2,0.4,0,0,1,0.2,0,0
Network 8,609842,Carson,CARSON,"1,222",2,0.2,41,3.4,0,0,8,0.7,"1,170",95.7,0,0,0,0,0,0,1,0.1
AUSL,609844,Carter,CARTER,439,0,0,429,97.7,0,0,0,0,10,2.3,0,0,0,0,0,0,0,0
OS4,609845,Carver Elementary,CARVER ELEMENTARY,507,3,0.6,499,98.4,0,0,0,0,5,1,0,0,0,0,0,0,0,0
Military,609760,Carver Mil Acad HS,CARVER MIL ACAD HS,529,2,0.4,254,48,0,0,1,0.2,270,51,2,0.4,0,0,0,0,0,0
AUSL,610021,Casals,CASALS,468,4,0.9,238,50.9,0,0,0,0,224,47.9,2,0.4,0,0,0,0,0,0
Network 10,609849,Cassell,CASSELL,367,283,77.1,34,9.3,0,0,2,0.5,40,10.9,5,1.4,3,0.8,0,0,0,0
