Network,SchoolID,EducationalUnit,EduUnit,Total,White_No,White_Pct,AfricanAmerican_No,AfricanAmerican_Pct,PacificIslanderRetired_No,PacificIslanderRetired_Pct,NativeAmerican_No,NativeAmerican_Pct,Hispanic_No,Hispanic_Pct,MulitRacial_No,MulitRacial_Pct,Asian_No,Asian_Pct,Hawaiian_No,Hawaiian_Pct,NotAvailable_No,NotAvailable_Pct
Military,610502,Marine Math & Sci Mil HS,MARINE MATH & SCI MIL HS,401,5,1.2,135,33.7,0,0,2,0.5,253,63.1,2,0.5,4,1,0,0,0,0
AUSL,610053,Marquette,MARQUETTE,"1,296",17,1.3,532,41,0,0,4,0.3,737,56.9,5,0.4,0,0,0,0,1,0.1
Network 13,610054,Marsh,MARSH,882,10,1.1,58,6.6,0,0,5,0.6,806,91.4,2,0.2,0,0,1,0.1,0,0
Network 5,609723,Marshall HS,MARSHALL HS,624,1,0.2,606,97.1,0,0,0,0,12,1.9,3,0.5,1,0.2,0,0,1,0.2
Network 1,610321,Marshall Middle,MARSHALL MIDDLE,275,14,5.1,11,4,0,0,2,0.7,236,85.8,3,1.1,6,2.2,1,0.4,2,0.7
Network 5,610056,Mason,MASON,485,0,0,481,99.2,0,0,0,0,3,0.6,1,0.2,0,0,0,0,0,0
Network 2,609724,Mather HS,MATHER HS,"1,623",341,21,202,12.4,3,0.2,11,0.7,604,37.2,28,1.7,426,26.2,6,0.4,2,0.1
Network 4,610059,Mayer Magnet,MAYER MAGNET,614,340,55.4,100,16.3,1,0.2,4,0.7,122,19.9,15,2.4,14,2.3,7,1.1,11,1.8
Network 11,610290,Mays,MAYS,606,0,0,590,97.4,0,0,1,0.2,9,1.5,2,0.3,2,0.3,0,0,2,0.3
Network 4,609968,McAuliffe,MCAULIFFE,677,18,2.7,36,5.3,0,0,2,0.3,609,90,2,0.3,0,0,0,0,10,1.5
Network 6,610062,McClellan,MCCLELLAN,293,40,13.7,74,25.3,0,0,3,1,150,51.2,11,3.8,9,3.1,0,0,6,2
Network 7,610063,McCormick,MCCORMICK,875,4,0.5,2,0.2,0,0,3,0.3,866,99,0,0,0,0,0,0,0,0
Network 2,610269,McCutcheon,MCCUTCHEON,502,24,4.8,235,46.8,0,0,1,0.2,125,24.9,12,2.4,103,20.5,0,0,2,0.4
Network 12,610066,McDade Classical,MCDADE CLASSICAL,189,3,1.6,179,94.7,0,0,0,0,3,1.6,1,0.5,2,1.1,1,0.5,0,0
Network 12,610312,McDowell,MCDOWELL,194,1,0.5,181,93.3,0,0,0,0,5,2.6,6,3.1,1,0.5,0,0,0,0
Network 10,610067,McKay,MCKAY,884,1,0.1,760,86,0,0,4,0.5,114,12.9,3,0.3,0,0,1,0.1,1,0.1
Network 8,610353,McKinley Park,MCKINLEY PARK,811,9,1.1,11,1.4,0,0,3,0.4,733,90.4,2,0.2,15,1.8,0,0,38,4.7
Network 3,610282,McNair,MCNAIR,382,1,0.3,355,92.9,0,0,1,0.3,23,6,2,0.5,0,0,0,0,0,0
Network 2,610070,McPherson,MCPHERSON,827,110,13.3,50,6,0,0,7,0.8,582,70.4,13,1.6,58,7,0,0,7,0.8
Network 5,610293,Melody,MELODY,618,0,0,602,97.4,0,0,0,0,11,1.8,0,0,0,0,1,0.2,4,0.6
Network 13,609902,Metcalfe,METCALFE,530,1,0.2,522,98.5,0,0,0,0,3,0.6,3,0.6,0,0,1,0.2,0,0
Network 12,610171,Mireles,MIRELES,744,7,0.9,368,49.5,0,0,2,0.3,365,49.1,1,0.1,0,0,1,0.1,0,0
Network 5,610073,Mitchell,MITCHELL,362,83,22.9,33,9.1,0,0,4,1.1,229,63.3,9,2.5,1,0.3,3,0.8,0,0
Options,610566,MJ Bridgescape - Nth Lawndale HS,MJ BRIDGESCAPE - NTH LAWNDALE HS,138,0,0,121,87.7,0,0,0,0,16,11.6,0,0,0,0,0,0,1,0.7
Network 9,610276,Mollison,MOLLISON,505,0,0,498,98.6,0,0,0,0,2,0.4,0,0,0,0,0,0,5,1
Network 4,610074,Monroe,MONROE,"1,053",21,2,15,1.4,0,0,1,0.1,"1,011",96,2,0.2,3,0.3,0,0,0,0
Network 6,610075,Montefiore,MONTEFIORE,58,0,0,45,77.6,0,0,0,0,13,22.4,0,0,0,0,0,0,0,0
Charter,400116,Montessori Englewood Chtr,MONTESSORI ENGLEWOOD CHTR,205,0,0,170,82.9,0,0,0,0,8,3.9,2,1,0,0,0,0,25,12.2
Network 5,610076,Moos,MOOS,500,10,2,72,14.4,0,0,2,0.4,410,82,1,0.2,5,1,0,0,0,0
OS4,609725,Morgan Park HS,MORGAN PARK HS,"1,431",18,1.3,"1,376",96.2,0,0,1,0.1,21,1.5,13,0.9,1,0.1,1,0.1,0,0
Network 10,610077,Morrill,MORRILL,816,4,0.5,357,43.8,0,0,0,0,448,54.9,6,0.7,0,0,0,0,1,0.1
AUSL,610257,Morton,MORTON,412,1,0.2,389,94.4,0,0,1,0.2,21,5.1,0,0,0,0,0,0,0,0
Network 4,610088,Mozart,MOZART,836,10,1.2,41,4.9,0,0,0,0,760,90.9,1,0.1,0,0,0,0,24,2.9
Network 10,610082,Mt Greenwood,MT GREENWOOD,999,819,82,15,1.5,0,0,4,0.4,137,13.7,7,0.7,8,0.8,8,0.8,1,0.1
Network 13,610086,Mt Vernon,MT VERNON,300,0,0,299,99.7,0,0,0,0,0,0,0,0,0,0,1,0.3,0,0
Network 7,610385,Multicultural Arts HS,MULTICULTURAL ARTS HS,280,1,0.4,39,13.9,0,0,3,1.1,236,84.3,0,0,0,0,0,0,1,0.4
Network 1,610089,Murphy,MURPHY,606,63,10.4,9,1.5,0,0,1,0.2,493,81.4,23,3.8,12,2,1,0.2,4,0.7
Network 9,610090,Murray Magnet,MURRAY MAGNET,535,32,6,433,80.9,0,0,1,0.2,27,5,26,4.9,16,3,0,0,0,0
Charter,400050,Namaste Charter,NAMASTE CHARTER,483,44,9.1,20,4.1,0,0,1,0.2,410,84.9,2,0.4,5,1,1,0.2,0,0
Network 3,610092,Nash,NASH,403,1,0.2,378,93.8,0,0,0,0,17,4.2,5,1.2,0,0,0,0,2,0.5
AUSL,610231,Natl Teachers Acad,NATL TEACHERS ACAD,585,13,2.2,535,91.5,0,0,0,0,20,3.4,7,1.2,9,1.5,0,0,1,0.2
Network 12,610093,Neil,NEIL,346,0,0,336,97.1,0,0,1,0.3,7,2,1,0.3,0,0,0,0,1,0.3
Network 4,610094,Nettelhorst,NETTELHORST,797,478,60,79,9.9,0,0,4,0.5,135,16.9,37,4.6,48,6,16,2,0,0
Network 2,610284,New Field,NEW FIELD,589,48,8.1,126,21.4,0,0,5,0.8,350,59.4,9,1.5,46,7.8,1,0.2,4,0.7
OS4,610323,New Millenium HS,NEW MILLENIUM HS,464,2,0.4,362,78,0,0,3,0.6,93,20,4,0.9,0,0,0,0,0,0
Network 4,610095,Newberry Magnet,NEWBERRY MAGNET,563,127,22.6,217,38.5,0,0,0,0,165,29.3,22,3.9,29,5.2,1,0.2,2,0.4
Network 11,609793,Nicholson,NICHOLSON,570,1,0.2,559,98.1,0,0,1,0.2,5,0.9,1,0.2,1,0.2,2,0.4,0,0
Network 8,610096,Nightingale,NIGHTINGALE,"1,389",11,0.8,6,0.4,0,0,3,0.2,"1,369",98.6,0,0,0,0,0,0,0,0
Network 12,609961,Ninos Heroes,NINOS HEROES,436,4,0.9,345,79.1,0,0,3,0.7,83,19,1,0.2,0,0,0,0,0,0
Network 4,610097,Nixon,NIXON,"1,059",11,1,25,2.4,0,0,9,0.8,"1,009",95.3,3,0.3,1,0.1,1,0.1,0,0
Charter,400045,Nkrumah Academy,NKRUMAH ACADEMY,217,0,0,214,98.6,0,0,0,0,1,0.5,1,0.5,0,0,0,0,1,0.5
Network 5,610098,Nobel,NOBEL,842,3,0.4,118,14,0,0,6,0.7,702,83.4,5,0.6,0,0,0,0,8,1
Charter,400052,Nobel St Chtr HS - Comer,NOBEL ST CHTR HS - COMER,950,1,0.1,892,93.9,0,0,0,0,43,4.5,13,1.4,0,0,0,0,1,0.1
Charter,400057,Nobel St Chtr HS - UIC College Prep,NOBEL ST CHTR HS - UIC COLLEGE PREP,851,22,2.6,201,23.6,0,0,4,0.5,576,67.7,8,0.9,36,4.2,0,0,4,0.5
Charter,400117,Noble St Chtr HS - Auburn-Grensham,NOBLE ST CHTR HS - AUBURN-GRENSHAM,498,0,0,488,98,0,0,0,0,8,1.6,0,0,1,0.2,0,0,1,0.2
Charter,400097,Noble St Chtr HS - Chgo Bulls College,NOBLE ST CHTR HS - CHGO BULLS COLLEGE,"1,079",9,0.8,303,28.1,0,0,3,0.3,742,68.8,9,0.8,7,0.6,1,0.1,5,0.5
Charter,400056,Noble St Chtr HS - Clark,NOBLE ST CHTR HS - CLARK,662,5,0.8,466,70.4,0,0,0,0,173,26.1,7,1.1,2,0.3,0,0,9,1.4
Charter,400156,Noble St Chtr HS - Crimson Campus,NOBLE ST CHTR HS - CRIMSON CAMPUS,102,0,0,99,97.1,0,0,0,0,1,1,0,0,0,0,0,0,2,2
Charter,400106,Noble St Chtr HS - Englewood HS,NOBLE ST CHTR HS - ENGLEWOOD HS,773,1,0.1,738,95.5,0,0,1,0.1,20,2.6,5,0.6,4,0.5,0,0,4,0.5
Charter,400053,Noble St Chtr HS - Golder,NOBLE ST CHTR HS - GOLDER,635,21,3.3,82,12.9,1,0.2,2,0.3,524,82.5,1,0.2,2,0.3,1,0.2,1,0.2
Charter,400118,Noble St Chtr HS - Homan Square,NOBLE ST CHTR HS - HOMAN SQUARE,431,6,1.4,372,86.3,0,0,0,0,46,10.7,2,0.5,0,0,0,0,5,1.2
Charter,400157,Noble St Chtr HS - Orange Campus,NOBLE ST CHTR HS - ORANGE CAMPUS,105,1,1,94,89.5,0,0,0,0,10,9.5,0,0,0,0,0,0,0,0
Charter,400054,Noble St Chtr HS - Prtizker,NOBLE ST CHTR HS - PRTIZKER,858,7,0.8,18,2.1,0,0,4,0.5,824,96,2,0.2,3,0.3,0,0,0,0
Charter,400055,Noble St Chtr HS - Rauner,NOBLE ST CHTR HS - RAUNER,640,13,2,50,7.8,0,0,9,1.4,560,87.5,7,1.1,0,0,0,0,1,0.2
Charter,400051,Noble St Chtr Hs -College Prep,NOBLE ST CHTR HS -COLLEGE PREP,602,17,2.8,64,10.6,0,0,5,0.8,510,84.7,1,0.2,5,0.8,0,0,0,0
Charter,400098,Noble St Chtr HS- Muchin,NOBLE ST CHTR HS- MUCHIN,886,24,2.7,253,28.6,4,0.5,5,0.6,514,58,1,0.1,47,5.3,0,0,38,4.3
Charter,400059,North Lawndale Chrt - Collins,NORTH LAWNDALE CHRT - COLLINS,422,0,0,415,98.3,0,0,1,0.2,2,0.5,0,0,0,0,0,0,4,0.9
Charter,400058,North Lawndale Chrt -Christiana,NORTH LAWNDALE CHRT -CHRISTIANA,425,0,0,419,98.6,0,0,0,0,5,1.2,1,0.2,0,0,0,0,0,0
Network 1,610354,North River,NORTH RIVER,403,9,2.2,7,1.7,0,0,3,0.7,368,91.3,3,0.7,4,1,1,0.2,8,2
Network 5,609691,North-Grand HS,NORTH-GRAND HS,910,4,0.4,66,7.3,0,0,3,0.3,833,91.5,1,0.1,2,0.2,1,0.1,0,0
Network 1,609749,Northside CPHS,NORTHSIDE CPHS,"1,069",429,40.1,97,9.1,2,0.2,4,0.4,270,25.3,46,4.3,191,17.9,3,0.3,27,2.5
Network 1,609744,Northside Lrn Ctr HS,NORTHSIDE LRN CTR HS,284,44,15.5,87,30.6,1,0.4,0,0,138,48.6,1,0.4,13,4.6,0,0,0,0
Network 3,610051,Northwest Middle,NORTHWEST MIDDLE,667,13,1.9,24,3.6,0,0,1,0.1,625,93.7,2,0.3,2,0.3,0,0,0,0
Network 1,610099,Norwood Park,NORWOOD PARK,367,228,62.1,2,0.5,0,0,3,0.8,104,28.3,13,3.5,14,3.8,1,0.3,2,0.5
Network 6,610101,Ogden,OGDEN,822,404,49.1,113,13.7,1,0.1,4,0.5,113,13.7,54,6.6,123,15,2,0.2,8,1
Network 6,610529,Ogden HS,OGDEN HS,784,211,26.9,256,32.7,3,0.4,5,0.6,222,28.3,27,3.4,47,6,2,0.3,11,1.4
Network 11,610102,Oglesby,OGLESBY,480,0,0,474,98.8,0,0,0,0,4,0.8,2,0.4,0,0,0,0,0,0
AUSL,610103,O'Keeffe,O'KEEFFE,588,0,0,576,98,0,0,1,0.2,9,1.5,2,0.3,0,0,0,0,0,0
Options,610569,Ombudsman No.1 HS,OMBUDSMAN NO.1 HS,70,23,32.9,19,27.1,0,0,1,1.4,24,34.3,2,2.9,0,0,0,0,1,1.4
Network 1,610104,Onahan,ONAHAN,670,421,62.8,4,0.6,0,0,4,0.6,200,29.9,16,2.4,17,2.5,2,0.3,6,0.9
Network 1,610105,Oriole Park,ORIOLE PARK,661,461,69.7,8,1.2,0,0,1,0.2,132,20,9,1.4,46,7,4,0.6,0,0
Network 7,610329,Orozco,OROZCO,616,3,0.5,5,0.8,0,0,6,1,592,96.1,0,0,2,0.3,0,0,8,1.3
AUSL,610389,Orr Academy HS,ORR ACADEMY HS,647,1,0.2,556,85.9,0,0,1,0.2,87,13.4,2,0.3,0,0,0,0,0,0
Network 7,609950,Ortiz De Dominguez,ORTIZ DE DOMINGUEZ,728,8,1.1,0,0,0,0,4,0.5,716,98.4,0,0,0,0,0,0,0,0
Network 6,610107,Otis,OTIS,635,21,3.3,124,19.5,0,0,4,0.6,477,75.1,8,1.3,1,0.2,0,0,0,0
Network 11,610108,O'Toole,O'TOOLE,419,1,0.2,396,94.5,0,0,0,0,20,4.8,0,0,1,0.2,1,0.2,0,0
Network 10,610109,Owen Magnet,OWEN MAGNET,252,4,1.6,222,88.1,0,0,0,0,19,7.5,4,1.6,0,0,1,0.4,2,0.8
Network 1,610111,Palmer,PALMER,906,269,29.7,7,0.8,0,0,7,0.8,425,46.9,19,2.1,126,13.9,45,5,8,0.9
Network 12,610115,Park Manor,PARK MANOR,355,0,0,347,97.7,0,0,0,0,5,1.4,1,0.3,2,0.6,0,0,0,0
Network 11,610112,Parker,PARKER,791,1,0.1,763,96.5,0,0,0,0,24,3,1,0.1,0,0,0,0,2,0.3
Network 12,610116,Parkside,PARKSIDE,295,0,0,290,98.3,0,0,1,0.3,3,1,1,0.3,0,0,0,0,0,0
Charter,400060,Passages Chrt,PASSAGES CHRT,440,25,5.7,215,48.9,2,0.5,3,0.7,91,20.7,24,5.5,73,16.6,4,0.9,3,0.7
Network 8,610117,Pasteur,PASTEUR,"1,222",55,4.5,6,0.5,0,0,10,0.8,"1,126",92.1,7,0.6,11,0.9,1,0.1,6,0.5
Options,610568,Pathways to Ed - Avondale HS,PATHWAYS TO ED - AVONDALE HS,161,8,5,39,24.2,0,0,0,0,109,67.7,3,1.9,0,0,1,0.6,1,0.6
Options,610557,Pathways to Education HS,PATHWAYS TO EDUCATION HS,310,6,1.9,101,32.6,0,0,2,0.6,199,64.2,0,0,0,0,0,0,2,0.6
Network 6,609680,Payton CPHS,PAYTON CPHS,819,298,36.4,143,17.5,2,0.2,3,0.4,184,22.5,38,4.6,79,9.6,2,0.2,70,8.5
Options,610386,Peace & Education Alt HS,PEACE & EDUCATION ALT HS,160,4,2.5,59,36.9,0,0,0,0,95,59.4,2,1.3,0,0,0,0,0,0
Network 8,610120,Peck,PECK,"1,608",33,2.1,12,0.7,0,0,6,0.4,"1,548",96.3,2,0.1,7,0.4,0,0,0,0
Network 2,610122,Peirce,PEIRCE,"1,041",204,19.6,87,8.4,0,0,9,0.9,623,59.8,48,4.6,70,6.7,0,0,0,0
Network 5,610123,Penn,PENN,404,0,0,353,87.4,0,0,1,0.2,48,11.9,0,0,1,0.2,0,0,1,0.2
Network 7,609872,Perez,PEREZ,349,1,0.3,4,1.1,0,0,0,0,342,98,0,0,2,0.6,0,0,0,0
Network 9,610126,Pershing E. Magnet,PERSHING E. MAGNET,447,5,1.1,422,94.4,0,0,0,0,13,2.9,2,0.4,3,0.7,0,0,2,0.4
Charter,400064,Perspectives Chrt  - Joslin,PERSPECTIVES CHRT  - JOSLIN,385,9,2.3,262,68.1,1,0.3,0,0,95,24.7,7,1.8,7,1.8,1,0.3,3,0.8
Charter,400062,Perspectives Chrt - Cal Tech HS,PERSPECTIVES CHRT - CAL TECH HS,494,1,0.2,486,98.4,0,0,0,0,4,0.8,1,0.2,0,0,0,0,2,0.4
Charter,400061,Perspectives Chrt - Calumet HS,PERSPECTIVES CHRT - CALUMET HS,754,1,0.1,741,98.3,0,0,1,0.1,4,0.5,6,0.8,0,0,0,0,1,0.1
Charter,400066,Perspectives Chrt - ITT Math/Science,PERSPECTIVES CHRT - ITT MATH/SCIENCE,586,8,1.4,545,93,1,0.2,0,0,17,2.9,8,1.4,2,0.3,0,0,5,0.9
Network 1,610127,Peterson,PETERSON,860,220,25.6,42,4.9,0,0,6,0.7,312,36.3,30,3.5,248,28.8,2,0.2,0,0
AUSL,609727,Phillips HS,PHILLIPS HS,670,2,0.3,653,97.5,0,0,2,0.3,6,0.9,5,0.7,2,0.3,0,0,0,0
Military,610304,Phoenix Mil Acad HS,PHOENIX MIL ACAD HS,497,1,0.2,127,25.6,0,0,0,0,366,73.6,2,0.4,1,0.2,0,0,0,0
AUSL,610106,Piccolo,PICCOLO,544,4,0.7,334,61.4,0,0,1,0.2,202,37.1,2,0.4,0,0,1,0.2,0,0
Network 7,610129,Pickard,PICKARD,614,7,1.1,18,2.9,0,0,1,0.2,585,95.3,1,0.2,0,0,0,0,2,0.3
Network 7,610013,Pilsen,PILSEN,439,1,0.2,33,7.5,0,0,2,0.5,398,90.7,3,0.7,2,0.5,0,0,0,0
Network 12,610130,Pirie,PIRIE,394,0,0,390,99,0,0,0,0,1,0.3,3,0.8,0,0,0,0,0,0
Network 5,610131,Plamondon,PLAMONDON,163,0,0,37,22.7,0,0,0,0,124,76.1,2,1.2,0,0,0,0,0,0
Contract,400068,Plato Learning Acad,PLATO LEARNING ACAD,475,0,0,473,99.6,0,0,0,0,2,0.4,0,0,0,0,0,0,0,0
Network 13,610132,Poe Classical,POE CLASSICAL,193,3,1.6,182,94.3,0,0,0,0,6,3.1,1,0.5,0,0,0,0,1,0.5
Charter,400069,Polaris Charter Acad,POLARIS CHARTER ACAD,442,1,0.2,399,90.3,0,0,0,0,37,8.4,1,0.2,0,0,0,0,4,0.9
Network 1,610135,Portage Park,PORTAGE PARK,"1,114",341,30.6,24,2.2,0,0,13,1.2,686,61.6,16,1.4,24,2.2,8,0.7,2,0.2
Network 12,610281,Powell,POWELL,564,0,0,553,98,0,0,0,0,9,1.6,1,0.2,1,0.2,0,0,0,0
Network 4,610136,Prescott,PRESCOTT,288,99,34.4,39,13.5,0,0,2,0.7,122,42.4,15,5.2,10,3.5,0,0,1,0.3
Network 3,610533,Prieto,PRIETO,"1,051",18,1.7,36,3.4,0,0,1,0.1,994,94.6,1,0.1,1,0.1,0,0,0,0
Network 6,610229,Pritzker,PRITZKER,699,164,23.5,259,37.1,0,0,0,0,219,31.3,33,4.7,21,3,2,0.3,1,0.1
Charter,400109,Prologue Chrt - Johnston HS,PROLOGUE CHRT - JOHNSTON HS,251,0,0,247,98.4,0,0,0,0,3,1.2,1,0.4,0,0,0,0,0,0
Contract,400070,Prologue Early College HS,PROLOGUE EARLY COLLEGE HS,231,8,3.5,179,77.5,0,0,0,0,39,16.9,1,0.4,1,0.4,0,0,3,1.3
Network 3,609679,Prosser HS,PROSSER HS,"1,514",67,4.4,322,21.3,0,0,8,0.5,"1,099",72.6,8,0.5,8,0.5,2,0.1,0,0
Charter,400071,Providence-Englewood Chrt,PROVIDENCE-ENGLEWOOD CHRT,471,0,0,426,90.4,0,0,0,0,7,1.5,2,0.4,0,0,2,0.4,34,7.2
Network 1,610137,Prussing,PRUSSING,687,325,47.3,13,1.9,1,0.1,4,0.6,254,37,6,0.9,36,5.2,5,0.7,43,6.3
Network 6,610138,Pulaski,PULASKI,895,97,10.8,9,1,0,0,6,0.7,741,82.8,17,1.9,9,1,0,0,16,1.8
Network 13,610139,Pullman,PULLMAN,254,0,0,191,75.2,0,0,1,0.4,51,20.1,3,1.2,0,0,0,0,8,3.1
OS4,610334,Raby HS,RABY HS,513,0,0,493,96.1,0,0,1,0.2,17,3.3,0,0,0,0,2,0.4,0,0
Network 11,609941,Randolph Magnet,RANDOLPH MAGNET,500,1,0.2,478,95.6,0,0,0,0,15,3,6,1.2,0,0,0,0,0,0
Network 2,610141,Ravenswood,RAVENSWOOD,508,200,39.4,51,10,0,0,0,0,213,41.9,24,4.7,16,3.1,2,0.4,2,0.4
Network 9,610142,Ray,RAY,721,146,20.2,399,55.3,0,0,2,0.3,54,7.5,43,6,72,10,1,0.1,4,0.6
OS4,610143,Reavis,REAVIS,304,1,0.3,296,97.4,0,0,0,0,3,1,0,0,1,0.3,3,1,0,0
Network 4,610144,Reilly,REILLY,"1,150",49,4.3,15,1.3,0,0,6,0.5,"1,058",92,7,0.6,10,0.9,4,0.3,1,0.1
Network 1,610145,Reinberg,REINBERG,840,241,28.7,12,1.4,0,0,1,0.1,550,65.5,11,1.3,22,2.6,1,0.1,2,0.2
Network 12,610146,Revere,REVERE,324,0,0,322,99.4,0,0,0,0,1,0.3,1,0.3,0,0,0,0,0,0
OS4,609682,Richards HS,RICHARDS HS,385,1,0.3,146,37.9,0,0,1,0.3,234,60.8,1,0.3,1,0.3,0,0,1,0.3
Military,610390,Rickover Naval HS,RICKOVER NAVAL HS,507,48,9.5,60,11.8,0,0,4,0.8,371,73.2,5,1,19,3.7,0,0,0,0
Network 11,609707,Robeson HS,ROBESON HS,372,0,0,371,99.7,0,0,0,0,1,0.3,0,0,0,0,0,0,0,0
OS4,610256,Robinson,ROBINSON,135,0,0,133,98.5,0,0,0,0,1,0.7,0,0,1,0.7,0,0,0,0
Network 2,610147,Rogers,ROGERS,752,134,17.8,126,16.8,0,0,4,0.5,310,41.2,6,0.8,171,22.7,1,0.1,0,0
Network 1,609728,Roosevelt HS,ROOSEVELT HS,"1,437",72,5,157,10.9,1,0.1,5,0.3,"1,042",72.5,9,0.6,86,6,2,0.1,63,4.4
Charter,400096,Rowe,ROWE,588,15,2.6,77,13.1,0,0,1,0.2,460,78.2,5,0.9,2,0.3,0,0,28,4.8
Network 6,610308,Rudolph Lrng Ctr,RUDOLPH LRNG CTR,109,9,8.3,44,40.4,0,0,0,0,50,45.9,1,0.9,3,2.8,1,0.9,1,0.9
Network 12,610152,Ruggles,RUGGLES,410,0,0,404,98.5,0,0,0,0,3,0.7,2,0.5,0,0,1,0.2,0,0
Network 7,610125,Ruiz,RUIZ,897,14,1.6,1,0.1,0,0,5,0.6,874,97.4,3,0.3,0,0,0,0,0,0
Network 11,610153,Ryder,RYDER,410,0,0,393,95.9,0,0,0,0,4,1,0,0,0,0,1,0.2,12,2.9
Network 5,610342,Sabin Magnet,SABIN MAGNET,626,9,1.4,102,16.3,0,0,7,1.1,494,78.9,6,1,2,0.3,0,0,6,1
Network 6,610250,Salazar Bilingual,SALAZAR BILINGUAL,405,8,2,77,19,0,0,1,0.2,310,76.5,1,0.2,8,2,0,0,0,0
Network 8,610226,Sandoval,SANDOVAL,"1,133",14,1.2,15,1.3,0,0,4,0.4,"1,091",96.3,0,0,3,0.3,0,0,6,0.5
Network 7,610017,Saucedo Magnet,SAUCEDO MAGNET,"1,281",3,0.2,21,1.6,0,0,10,0.8,"1,228",95.9,4,0.3,0,0,0,0,15,1.2
Network 1,610155,Sauganash,SAUGANASH,553,290,52.4,9,1.6,0,0,1,0.2,138,25,12,2.2,101,18.3,2,0.4,0,0
Network 8,610157,Sawyer,SAWYER,"1,837",21,1.1,12,0.7,0,0,3,0.2,"1,797",97.8,3,0.2,0,0,0,0,1,0.1
Network 3,610158,Sayre,SAYRE,571,68,11.9,223,39.1,0,0,1,0.2,246,43.1,28,4.9,4,0.7,0,0,1,0.2
Network 1,610159,Scammon,SCAMMON,872,54,6.2,8,0.9,0,0,5,0.6,775,88.9,9,1,15,1.7,3,0.3,3,0.3
Network 12,610297,Sch Of Leadership HS,SCH OF LEADERSHIP HS,134,1,0.7,131,97.8,0,0,0,0,1,0.7,1,0.7,0,0,0,0,0,0
Network 7,610383,Sch Of Social Justice HS,SCH OF SOCIAL JUSTICE HS,356,0,0,32,9,0,0,0,0,323,90.7,1,0.3,0,0,0,0,0,0
Network 12,610178,Schmid,SCHMID,208,1,0.5,196,94.2,0,0,1,0.5,9,4.3,1,0.5,0,0,0,0,0,0
Network 3,610165,Schubert,SCHUBERT,967,32,3.3,12,1.2,0,0,1,0.1,917,94.8,2,0.2,2,0.2,0,0,1,0.1
Network 1,609729,Schurz HS,SCHURZ HS,"2,379",134,5.6,219,9.2,0,0,15,0.6,"1,930",81.1,15,0.6,24,1,2,0.1,40,1.7
Network 2,609730,Senn HS,SENN HS,"1,162",108,9.3,327,28.1,0,0,5,0.4,521,44.8,33,2.8,161,13.9,6,0.5,1,0.1
Network 8,610167,Seward,SEWARD,849,10,1.2,4,0.5,0,0,0,0,834,98.2,0,0,1,0.1,0,0,0,0
Charter,400072,Shabazz Charter,SHABAZZ CHARTER,324,0,0,263,81.2,0,0,1,0.3,1,0.3,3,0.9,0,0,0,0,56,17.3
Charter,400073,Shabazz Chrt - DuSable,SHABAZZ CHRT - DUSABLE,234,0,0,230,98.3,0,0,0,0,2,0.9,1,0.4,0,0,0,0,1,0.4
Charter,400074,Shabazz Chrt - Sizmore,SHABAZZ CHRT - SIZMORE,286,0,0,263,92,0,0,0,0,2,0.7,0,0,0,0,0,0,21,7.3
Network 6,610081,Sheridan Magnet,SHERIDAN MAGNET,545,156,28.6,96,17.6,0,0,0,0,114,20.9,16,2.9,162,29.7,1,0.2,0,0
AUSL,610172,Sherman,SHERMAN,391,0,0,371,94.9,0,0,0,0,20,5.1,0,0,0,0,0,0,0,0
Network 11,610173,Sherwood,SHERWOOD,407,1,0.2,395,97.1,0,0,1,0.2,7,1.7,2,0.5,0,0,0,0,1,0.2
Network 8,610174,Shields,SHIELDS,"1,051",17,1.6,8,0.8,0,0,2,0.2,"1,021",97.1,1,0.1,1,0.1,1,0.1,0,0
Network 8,610559,Shields Middle,SHIELDS MIDDLE,717,6,0.8,5,0.7,0,0,6,0.8,698,97.4,0,0,1,0.1,1,0.1,0,0
Network 9,610175,Shoesmith,SHOESMITH,343,4,1.2,324,94.5,0,0,0,0,8,2.3,2,0.6,4,1.2,0,0,1,0.3
Network 13,610176,Shoop,SHOOP,502,0,0,496,98.8,0,0,0,0,6,1.2,0,0,0,0,0,0,0,0
Network 11,609692,Simeon HS,SIMEON HS,"1,467",0,0,"1,446",98.6,0,0,0,0,8,0.5,13,0.9,0,0,0,0,0,0
Options,609750,Simpson HS,SIMPSON HS,87,1,1.1,63,72.4,0,0,0,0,20,23,1,1.1,0,0,0,0,2,2.3
Network 6,610177,Skinner Classical,SKINNER CLASSICAL,903,209,23.1,352,39,0,0,7,0.8,109,12.1,22,2.4,186,20.6,2,0.2,16,1.8
Network 4,610534,Skinner North,SKINNER NORTH,368,152,41.3,55,14.9,0,0,1,0.3,42,11.4,25,6.8,91,24.7,2,0.5,0,0
Network 13,609978,Smith W.,SMITH W.,343,3,0.9,338,98.5,0,0,0,0,2,0.6,0,0,0,0,0,0,0,0
Network 1,610179,Smyser,SMYSER,"1,006",380,37.8,7,0.7,0,0,5,0.5,568,56.5,11,1.1,32,3.2,3,0.3,0,0
OS4,610180,Smyth J.,SMYTH J.,512,8,1.6,472,92.2,0,0,0,0,25,4.9,1,0.2,6,1.2,0,0,0,0
Network 1,610182,Solomon,SOLOMON,357,158,44.3,14,3.9,0,0,0,0,50,14,11,3.1,124,34.7,0,0,0,0
