SchoolID,SchoolName,FullName,CPSUnit
609808,Haley,Alex Haley Elementary Academy,2360
609963,Hamilton,Alexander Hamilton Elementary School,3730
609964,Hamline,John H Hamline Elementary School,3740
609966,Hammond,Charles G Hammond Elementary School,3750
609807,Hampton,Lionel Hampton Fine & Performing Arts ES,2350
609694,Hancock HS,John Hancock College Preparatory High School,1200
610068,Hanson Park,Hanson Park Elementary School,4770
609710,Harlan HS,John M Harlan Community Academy High School,1350
609711,Harper HS,William Rainey Harper High School,1360
609969,Harte,Bret Harte Elementary School,3780
609971,Harvard,John Harvard Elementary School of Excellence,3800
609972,Haugan,Helge A Haugan Elementary School,3810
609974,Hawthorne,Hawthorne Elementary Scholastic Academy,3830
609975,Hay,John Hay Elementary Community Academy,3840
609976,Hayt,Stephen K Hayt Elementary School,3850
609979,Healy,Robert Healy Elementary School,3880
609981,Hearst,Phobe Apperson Hearst Elementary School,3890
609983,Hedges,James Hedges Elementary School,3900
609985,Hefferan,Helen M Hefferan Elementary School,3910
609986,Henderson,Charles R Henderson Elementary School,3920
609987,Hendricks,Thomas A Hendricks Elementary Community Academy,3930
609988,Henry,Patrick Henry Elementary School,3940
610532,Hernandez,Irene C. Hernandez Middle School for the Advancement of Science,8021
609961,Heroes,Ninos Heroes Elementary Academic Center,3720
609991,Herzl,Theodore Herzl Elementary School,3970
609994,Hibbard,William G Hibbard Elementary School,4000
610295,Higgins,Thomas J Higgins Elementary Community Academy,7210
610299,Hinton,William A Hinton Elementary School,7250
609712,Hirsch HS,Emil G Hirsch Metropolitan High School,1380
609995,Hitch,Rufus M Hitch Elementary School,4010
609996,Holden,Charles N Holden Elementary School,4020
609997,Holmes,Oliver Wendell Holmes Elementary School,4030
400043,Hope Contr ES,Hope Institute Learning Academy,8067
609768,Hope HS,Hope College Preparatory High School,1940
610000,Howe,Julia Ward Howe Elementary School of Excellence,4060
610002,Hoyne,Thomas Hoyne Elementary School,4080
609741,Hubbard HS,Gurdon S Hubbard High School,1670
610005,"Hughes, C",Charles Evans Hughes Elementary School,4110
610368,"Hughes, L",Langston Hughes Elementary School,8060
610006,Hurley,Edward N Hurley Elementary School,4120
609713,Hyde Park HS,Hyde Park Academy High School,1390
610384,Infinity HS,Infinity Math Science and Technology High School,7680
400104,Instituto Acad Chtr Health,Instituto Health Sciences Career Academy HS,8026
