SchoolID,SchoolName,FullName,CPSUnit,Network,SchoolID,EducationalUnit,EduUnit,Total,White_No,White_Pct,AfricanAmerican_No,AfricanAmerican_Pct,PacificIslanderRetired_No,PacificIslanderRetired_Pct,NativeAmerican_No,NativeAmerican_Pct,Hispanic_No,Hispanic_Pct,MulitRacial_No,MulitRacial_Pct,Asian_No,Asian_Pct,Hawaiian_No,Hawaiian_Pct,NotAvailable_No,NotAvailable_Pct,lat,lng
610059,Mayer,Oscar F Mayer Elementary School,4680,Network 4,610059,Mayer Magnet,MAYER MAGNET,614,340,55.4,100,16.3,1,0.2,4,0.7,122,19.9,15,2.4,14,2.3,7,1.1,11,1.8,41.92287200000001,-87.6575052
610290,Mays,Benjamin E Mays Elementary Academy,7150,Network 11,610290,Mays,MAYS,606,0,0,590,97.4,0,0,1,0.2,9,1.5,2,0.3,2,0.3,0,0,2,0.3,41.773192,-87.6368395
609968,Mcauliffe,Sharon Christa McAuliffe Elementary School,3770,Network 4,609968,McAuliffe,MCAULIFFE,677,18,2.7,36,5.3,0,0,2,0.3,609,90,2,0.3,0,0,0,0,10,1.5,41.9146522,-87.7234141
610062,Mcclellan,George B McClellan Elementary School,4710,Network 6,610062,McClellan,MCCLELLAN,293,40,13.7,74,25.3,0,0,3,1,150,51.2,11,3.8,9,3.1,0,0,6,2,41.8303162,-87.640913
610063,Mccormick,Cyrus H McCormick Elementary School,4720,Network 7,610063,McCormick,MCCORMICK,875,4,0.5,2,0.2,0,0,3,0.3,866,99,0,0,0,0,0,0,0,0,41.8424252,-87.70620459999999
610269,Mccutcheon,John T McCutcheon Elementary School,6910,Network 2,610269,McCutcheon,MCCUTCHEON,502,24,4.8,235,46.8,0,0,1,0.2,125,24.9,12,2.4,103,20.5,0,0,2,0.4,41.97125399999999,-87.6544199
610066,Mcdade,James E McDade Elementary Classical School,4750,Network 12,610066,McDade Classical,MCDADE CLASSICAL,189,3,1.6,179,94.7,0,0,0,0,3,1.6,1,0.5,2,1.1,1,0.5,0,0,41.734354,-87.618014
610312,Mcdowell,Mary E McDowell Elementary School,7390,Network 12,610312,McDowell,MCDOWELL,194,1,0.5,181,93.3,0,0,0,0,5,2.6,6,3.1,1,0.5,0,0,0,0,41.7328045,-87.5899013
610067,Mckay,Francis M McKay Elementary School,4760,Network 10,610067,McKay,MCKAY,884,1,0.1,760,86,0,0,4,0.5,114,12.9,3,0.3,0,0,1,0.1,1,0.1,41.7677443,-87.6915121
610282,Mcnair,Ronald E McNair Elementary School,7040,Network 3,610282,McNair,MCNAIR,382,1,0.3,355,92.9,0,0,1,0.3,23,6,2,0.5,0,0,0,0,0,0,41.8980098,-87.7470306
610070,Mcpherson,James B McPherson Elementary School,4800,Network 2,610070,McPherson,MCPHERSON,827,110,13.3,50,6,0,0,7,0.8,582,70.4,13,1.6,58,7,0,0,7,0.8,41.96813239999999,-87.67693229999999
610293,Melody,Genevieve Melody Elementary School,7190,Network 5,610293,Melody,MELODY,618,0,0,602,97.4,0,0,0,0,11,1.8,0,0,0,0,1,0.2,4,0.6,41.8788585,-87.7246271
609902,Metcalfe,Ralph H Metcalfe Elementary Community Academy,3190,Network 13,609902,Metcalfe,METCALFE,530,1,0.2,522,98.5,0,0,0,0,3,0.6,3,0.6,0,0,1,0.2,0,0,41.6695151,-87.6342134
610171,Mireles,Arnold Mireles Elementary Academy,5880,Network 12,610171,Mireles,MIRELES,744,7,0.9,368,49.5,0,0,2,0.3,365,49.1,1,0.1,0,0,1,0.1,0,0,41.73142060000001,-87.55294820000002
610073,Mitchell,Ellen Mitchell Elementary School,4840,Network 5,610073,Mitchell,MITCHELL,362,83,22.9,33,9.1,0,0,4,1.1,229,63.3,9,2.5,1,0.3,3,0.8,0,0,41.8919519,-87.68331320000001
610276,Mollison,Irvin C Mollison Elementary School,6950,Network 9,610276,Mollison,MOLLISON,505,0,0,498,98.6,0,0,0,0,2,0.4,0,0,0,0,0,0,5,1,41.81472369999999,-87.61644770000001
610074,Monroe,James Monroe Elementary School,4850,Network 4,610074,Monroe,MONROE,"1,053",21,2,15,1.4,0,0,1,0.1,"1,011",96,2,0.2,3,0.3,0,0,0,0,41.9295238,-87.71908289999999
610075,Montefiore,Moses Montefiore Special Elementary School,4860,Network 6,610075,Montefiore,MONTEFIORE,58,0,0,45,77.6,0,0,0,0,13,22.4,0,0,0,0,0,0,0,0,41.86483279999999,-87.6668675
