Unit,FY00_Name,FY00Total,FY00_WhitePct,Fy00_AfrianAmericanPct,FY00_AsianPct,FY00_HispanicPct
4030,Holmes,751,0,100,0,0
4130,Hope Comm Acad,992,0.1,90.2,0,9.7
4060,Howe,845,19.3,80.7,0,0
4070,Howland,379,0,99.5,0,0.5
4080,Hoyne,279,0,99.6,0.4,0
1670,Hubbard HS,1652,29.4,15,6.2,49.2
4110,"Hughes, C.E.",565,0,99.6,0,0.4
8060,"Hughes, L.",508,0,100,0,0
4120,Hurley,1085,10.5,9.9,1.4,78.2
1390,Hyde ParkHS,1801,0,99.2,0,0.3
4890,Inter-American,651,18.1,15.5,1.7,64.2
5350,Irving,542,2.4,51.7,2.2,43.7
4780,Irving Park Middle,431,19.3,1.4,4.2,75.2
4690,"Jackson, A. Acad",543,28.9,28.7,14.5,27.4
8090,"Jackson, M.",501,0,98.4,0,1.6
4170,Jahn,517,15.3,6.2,2.3,74.9
4180,Jamieson,1021,47.4,2.4,31.2,18.8
2120,"Jefferson, N. Alt",550,6.2,79.5,0.4,13.8
4190,"Jefferson, T.",287,1,95.1,0.7,3.1
4200,Jenner,527,0,100,0,0
6920,Jensen,651,0,100,0,0
5540,"Johns, V. Acad",406,0,99.8,0,0.2
6940,Johnson,457,0,100,0,0
1060,Jones Magnet HS,395,8.1,41,5.1,44.3
2330,Joplin,776,0,99.9,0,0.1
2870,Jordan Comm,814,1.6,48.5,0.4,49.5
1890,Juarez HS,1499,0.9,1.4,1.3,96.3
1870,Julian HS,1375,0.7,99.3,0,0
4230,Jungman,435,2.8,3.7,0,93.6
3370,Kanoon Magnet,937,2.1,2.6,0.1,95.1
4960,Keller Magnet,231,33.3,51.9,2.6,11.3
3410,Kellman Corp Comm,293,0,100,0,0
4240,Kellogg,298,26.5,66.4,2,4.4
1400,Kelly HS,2237,5.8,2.4,3.4,88.3
1410,Kelvyn Park HS,1985,2,4.2,0.3,93.5
1420,Kennedy HS,1570,41.1,11.7,1.7,45.4
1710,Kenwood HS,1880,5.7,88.5,3,2.7
